                                     | Core 0    
  Instructions                       |     182960
  Cycles                             |     425829
  IPC                                |       0.43
  Time (ns)                          |     160086
  Idle time (ns)                     |      76931
  Idle time (%)                      |      48.1%
Branch predictor stats               |           
  num correct                        |      13004
  num incorrect                      |          6
  misprediction rate                 |      0.05%
  mpki                               |       0.03
TLB Summary                          |           
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |      31012
    num cache misses                 |         12
    miss rate                        |      0.04%
    mpki                             |       0.07
  Cache L1-D                         |           
    num cache accesses               |     124035
    num cache misses                 |          9
    miss rate                        |      0.01%
    mpki                             |       0.05
  Cache L2                           |           
    num cache accesses               |         23
    num cache misses                 |         21
    miss rate                        |     91.30%
    mpki                             |       0.11
  Cache L3                           |           
    num cache accesses               |         23
    num cache misses                 |         21
    miss rate                        |     91.30%
    mpki                             |       0.11
DRAM summary                         |           
  num dram accesses                  |         21
  average dram access latency (ns)   |     115.23
  average dram queueing delay        |      61.80
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |          5
  num loads from dram cache          |          0
  num loads from remote cache        |          0
